 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     74    32.482628598  -141.625064911     1.265183331    160.353155739
     75    52.169930225  -139.886554908     1.344182212    172.011109155
     76    61.752725049  -131.167337888     1.401910027    170.640587586
     77    66.617516455  -120.007028653     1.448163633    163.811326320
     78    53.281175877  -111.445582680     1.446536723    145.591734976
     79   153.428985762   -89.376741260    -1.493646553    212.700818787
     80  -334.987523152  -390.578778031    -0.706960484    365.963666321
     81  2101.711779090  -179.641497503     1.019588955   2197.047591953
     82    46.869207988 -1980.740582569    -0.850314894   2004.586171865
     83    21.350581610 -1203.367734979    -0.830667058   1214.183822143
     84    21.391525933  -790.853614232    -0.837976006    801.763432768
     85    17.805804869  -595.381223942    -0.838438183    604.480843705
     86    32.499179834  -476.598525495    -0.854098291    493.651103901
     87   -65.053200910  -421.783533222    -0.742702286    393.312724074
     88   646.113897153  -527.620197168    -0.926061024   1018.208712575
     89  2976.421531795 -2176.443756729    -1.206016187   4480.402506629
     90  1888.284204311 -2392.527863160     0.997497654   3715.855135044
     91  2675.382719897  -827.488312915     1.326243689   3171.160282802
     92  -128.508584373  -850.005339546    -1.486915369    793.593441644
     93   301.681261408  -418.469075626    -1.253419475    626.396223916

Compliance        Max Von mises stress            Average Area of elements
           2131199.75771              13682.4176638           1.675507312363E-03
